rDate,downloads,n
2015-06-30 00:00:00,5000,1
2015-07-31 00:00:00,10,1
2015-07-31 00:00:00,100,3
2015-07-31 00:00:00,1000,1
2015-07-31 00:00:00,10000,1
2015-08-31 00:00:00,1000,1
2015-08-31 00:00:00,10000,1
2015-09-30 00:00:00,10,2
2015-09-30 00:00:00,50,2
2015-09-30 00:00:00,100,4
2015-09-30 00:00:00,500,2
2015-09-30 00:00:00,1000,4
2015-09-30 00:00:00,10000,3
2015-09-30 00:00:00,50000,1
2015-09-30 00:00:00,500000,1
2015-09-30 00:00:00,100000000,1
2015-10-31 00:00:00,1,5
2015-10-31 00:00:00,5,1
2015-10-31 00:00:00,10,16
2015-10-31 00:00:00,50,8
2015-10-31 00:00:00,100,12
2015-10-31 00:00:00,500,8
2015-10-31 00:00:00,1000,30
2015-10-31 00:00:00,5000,8
2015-10-31 00:00:00,10000,12
2015-10-31 00:00:00,50000,4
2015-10-31 00:00:00,100000,6
2015-10-31 00:00:00,500000,3
2015-10-31 00:00:00,1000000,4
2015-10-31 00:00:00,5000000,1
2015-10-31 00:00:00,10000000,1
2015-11-30 00:00:00,0,3
2015-11-30 00:00:00,1,4
2015-11-30 00:00:00,5,4
2015-11-30 00:00:00,10,14
2015-11-30 00:00:00,50,5
2015-11-30 00:00:00,100,20
2015-11-30 00:00:00,500,13
2015-11-30 00:00:00,1000,32
2015-11-30 00:00:00,5000,10
2015-11-30 00:00:00,10000,50
2015-11-30 00:00:00,50000,23
2015-11-30 00:00:00,100000,51
2015-11-30 00:00:00,500000,14
2015-11-30 00:00:00,1000000,20
2015-11-30 00:00:00,5000000,7
2015-11-30 00:00:00,10000000,12
2015-11-30 00:00:00,50000000,5
2015-11-30 00:00:00,100000000,1
2015-11-30 00:00:00,500000000,1
2015-12-31 00:00:00,0,3
2015-12-31 00:00:00,1,4
2015-12-31 00:00:00,5,1
2015-12-31 00:00:00,10,13
2015-12-31 00:00:00,50,7
2015-12-31 00:00:00,100,11
2015-12-31 00:00:00,500,2
2015-12-31 00:00:00,1000,10
2015-12-31 00:00:00,5000,3
2015-12-31 00:00:00,10000,22
2015-12-31 00:00:00,50000,4
2015-12-31 00:00:00,100000,24
2015-12-31 00:00:00,500000,5
2015-12-31 00:00:00,1000000,9
2015-12-31 00:00:00,5000000,5
2015-12-31 00:00:00,10000000,2
2015-12-31 00:00:00,50000000,1
2015-12-31 00:00:00,100000000,1
2015-12-31 00:00:00,1000000000,1
2016-01-31 00:00:00,0,2
2016-01-31 00:00:00,1,4
2016-01-31 00:00:00,5,3
2016-01-31 00:00:00,10,6
2016-01-31 00:00:00,50,2
2016-01-31 00:00:00,100,8
2016-01-31 00:00:00,500,5
2016-01-31 00:00:00,1000,23
2016-01-31 00:00:00,5000,9
2016-01-31 00:00:00,10000,22
2016-01-31 00:00:00,50000,6
2016-01-31 00:00:00,100000,11
2016-01-31 00:00:00,500000,1
2016-01-31 00:00:00,1000000,3
2016-01-31 00:00:00,10000000,2
2016-02-29 00:00:00,0,2
2016-02-29 00:00:00,1,2
2016-02-29 00:00:00,10,4
2016-02-29 00:00:00,100,7
2016-02-29 00:00:00,500,6
2016-02-29 00:00:00,1000,9
2016-02-29 00:00:00,5000,7
2016-02-29 00:00:00,10000,12
2016-02-29 00:00:00,50000,8
2016-02-29 00:00:00,100000,12
2016-02-29 00:00:00,500000,7
2016-02-29 00:00:00,1000000,9
2016-02-29 00:00:00,5000000,1
2016-02-29 00:00:00,10000000,1
2016-02-29 00:00:00,50000000,2
2016-03-31 00:00:00,0,3
2016-03-31 00:00:00,1,1
2016-03-31 00:00:00,10,1
2016-03-31 00:00:00,50,1
2016-03-31 00:00:00,100,3
2016-03-31 00:00:00,500,2
2016-03-31 00:00:00,1000,4
2016-03-31 00:00:00,5000,1
2016-03-31 00:00:00,10000,2
2016-03-31 00:00:00,50000,2
2016-03-31 00:00:00,100000,9
2016-03-31 00:00:00,500000,2
2016-03-31 00:00:00,1000000,11
2016-03-31 00:00:00,5000000,2
2016-03-31 00:00:00,10000000,3
2016-03-31 00:00:00,50000000,1
